x,y
-5,0
-4,0
-3,0
-2,0
-1,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16.56792695,0.082171569
18.11867536,0.327785989
19.63525492,0.734152256
21.10104965,1.296818135
22.5,2.009618943
23.81677878,2.864745084
25.0369591,3.852827618
26.14717238,4.963040905
27.13525492,6.183221216
27.99038106,7.5
28.70318186,8.898950354
29.26584774,10.36474508
29.67221401,11.88132464
29.91782843,13.43207305
30,15
29.91782843,16.56792695
29.67221401,18.11867536
29.26584774,19.63525492
28.70318186,21.10104965
27.99038106,22.5
27.13525492,23.81677878
26.14717238,25.0369591
25.0369591,26.14717238
23.81677878,27.13525492
22.5,27.99038106
21.10104965,28.70318186
19.63525492,29.26584774
18.11867536,29.67221401
16.56792695,29.91782843
15,30
14,30
13,30
12,30
11,30
10,30
9,30
8,30
7,30
6,30
5,30
4,30
3,30
2,30
1,30
0,30
-1,30
-2,30
-3,30
-4,30
-5,30
-6,30
-7,30
-8,30
-9,30
-10,30
-11,30
-12,30
-13,30
-14,30
-15,30
-16.56792695,29.91782843
-18.11867536,29.67221401
-19.63525492,29.26584774
-21.10104965,28.70318186
-22.5,27.99038106
-23.81677878,27.13525492
-25.0369591,26.14717238
-26.14717238,25.0369591
-27.13525492,23.81677878
-27.99038106,22.5
-28.70318186,21.10104965
-29.26584774,19.63525492
-29.67221401,18.11867536
-29.91782843,16.56792695
-30,15
-29.91782843,13.43207305
-29.67221401,11.88132464
-29.26584774,10.36474508
-28.70318186,8.898950354
-27.99038106,7.5
-27.13525492,6.183221216
-26.14717238,4.963040905
-25.0369591,3.852827618
-23.81677878,2.864745084
-22.5,2.009618943
-21.10104965,1.296818135
-19.63525492,0.734152256
-18.11867536,0.327785989
-16.56792695,0.082171569
-15,0
-14,0
-13,0
-12,0
-11,0
-10,0
-9,0
-8,0
-7,0
-6,0
-5,0
-4,0
-3,0
-2,0
-1,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
